 spain.477.o1: "NO-body expects the Spanish Inquisition!"
 spain.229.d: "Allowing the establishment of some private enterprises, the NEP allows private initiative in domestic trade for private profit while the state continued to control foreign trade, banks and large industries."
 spain.229.o1: "Building the New Society"
 spain.230.t: "Socialist Property"
 spain.230.d: "Social property over the instruments and means of production, the economic base of socialism. It arises as a result of the socialist revolution by means of the socialization of private capitalist property and by the transformation, in accordance with socialist principles, of the small private property of labor."
 spain.230.o1: "Building the New Society"
 spain.231.t: "Socialization of Production Relations"
 spain.231.d: "The suppression of capitalist property and the creation of socialist social property eliminate the antagonistic contradictions between the productive forces and the relations of production, opens an unlimited horizon for their development."
 spain.231.o1: "Building the New Society"
 spain.232.t: "Central Logistics"
 spain.232.d: "The Central Corridor is a rail corridor of passengers and merchandise that travels from north to south the Iberian Peninsula. Together with the Atlantic Corridor and the Mediterranean Corridor, these will be the three main transport networks of both people and goods from the Iberian peninsula to the rest of Europe."
 spain.232.o1: "Building the New Society"
 spain.233.t: "Mediterranean Logistics"
 spain.233.d: "The Mediterranean Corridor is the term under which is denominated a set of railway lines in the east of Spain destined to the transport of passengers and merchandise and that run mainly parallel to the Mediterranean coast. Its route covers the autonomous communities of Catalonia, Valencian Community, Murcia and Andalusia. Due to its connection with the European high-speed lines and its interoperability with the main Spanish ports, it is one of the most important railways in the country's economic and commercial area."
 spain.233.o1: "Building the New Society"
 spain.234.t: "Atlantic Logistics"
 spain.234.d: "The Atlantic Corridor is a passenger and freight rail corridor that connects the ports of the Atlantic facade with the interior and the rest of Europe. Together with the Central Corridor and the Mediterranean Corridor will be the three main transport networks of both people and goods of the Iberian peninsula with the rest of the European continent."
 spain.234.o1: "Building the New Society"
 spain.235.t: "Academic City"
 spain.235.d: "It is a formal term to refer to cities that have a high concentration of research and scientific developments. Many of these cities are being built in the socialist era with this express purpose."
 spain.235.o1: "Building the New Society"
